Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/23/2023,06/25/2023,SQ *DULUTH'S BEST BREAD H,Groceries,Sale,-10.44,
06/23/2023,06/25/2023,TST* DULUTH COFFEE,Food & Drink,Sale,-16.67,
06/23/2023,06/25/2023,VENTRA ACCOUNT,Travel,Sale,-2.50,
06/23/2023,06/25/2023,TST* DULUTH COFFEE,Food & Drink,Sale,-4.45,
06/23/2023,06/25/2023,TST* THE RATHSKELLER,Food & Drink,Sale,-25.45,
06/24/2023,06/25/2023,UBER *TRIP HELP.UBER.COM,Travel,Sale,-63.94,
06/22/2023,06/23/2023,UBER   TRIP,Travel,Sale,-16.91,
06/23/2023,06/23/2023,LYFT   *1 RIDE 06-20,Travel,Sale,-10.99,
06/22/2023,06/23/2023,NORTHERN WATERS SMOKEHAUS,Food & Drink,Sale,-18.31,
06/22/2023,06/23/2023,OMC SMOKEHOUSE,Food & Drink,Sale,-35.84,
06/21/2023,06/22/2023,SQ *DULUTH'S BEST BREAD H,Groceries,Sale,-10.44,
06/19/2023,06/21/2023,TST* Canal Park Brewing C,Food & Drink,Sale,-10.00,
06/20/2023,06/21/2023,TST* FITGER'S BREWHOUSE,Food & Drink,Sale,-24.99,
06/20/2023,06/20/2023,AUTOMATIC PAYMENT - THANK,,Payment,914.82,
06/19/2023,06/20/2023,DUBH LINN BREW PUB,Food & Drink,Sale,-8.00,
06/19/2023,06/20/2023,H2C CHILI'S BAR E2 ORD,Food & Drink,Sale,-39.52,
06/18/2023,06/19/2023,GLF*LAWSONIAGOLF COURSE,Entertainment,Sale,-22.00,
06/18/2023,06/19/2023,SQ *SK TAXI,Travel,Sale,-30.00,
06/17/2023,06/18/2023,GLF*LAWSONIAGOLF COURSE,Entertainment,Sale,-22.00,
06/17/2023,06/18/2023,GLF*LAWSONIAGOLF COURSE,Entertainment,Sale,-29.00,
06/17/2023,06/18/2023,GLF*LAWSONIAGOLF COURSE,Entertainment,Sale,-21.05,
06/16/2023,06/18/2023,SASSAFRAS SPECIALTIES,Food & Drink,Sale,-4.48,
06/15/2023,06/16/2023,GLF*DIVERSEY,Entertainment,Sale,-17.00,
06/15/2023,06/16/2023,DIVERSEY HARBOR,Gifts & Donations,Sale,-5.00,
06/15/2023,06/16/2023,TARGET        00032219,Shopping,Sale,-8.81,
06/13/2023,06/15/2023,CITY POOL HALL,Food & Drink,Sale,-8.00,
06/14/2023,06/15/2023,Spotify USA,Bills & Utilities,Sale,-10.89,
06/12/2023,06/14/2023,SOUTH LOOP MARKET SHEFFIE,Groceries,Sale,-12.27,
06/12/2023,06/13/2023,GLF*DIVERSEY,Entertainment,Sale,-17.00,
06/10/2023,06/12/2023,CLEANED IN THE USA,Personal,Sale,-34.20,
06/10/2023,06/12/2023,TST* Dolci Amori - Clark,Food & Drink,Sale,-10.50,
06/09/2023,06/11/2023,CAPSULE PHARMACY,Health & Wellness,Sale,-27.61,
06/09/2023,06/11/2023,PARROTS BAR &amp; GRILL,Food & Drink,Sale,-7.14,
06/08/2023,06/11/2023,GLF*ArlingtonLakesGC,Entertainment,Return,65.49,
06/08/2023,06/11/2023,CHICK-FIL-A #04961,Food & Drink,Sale,-7.96,
06/10/2023,06/11/2023,GLF*DIVERSEY,Entertainment,Sale,-17.00,
06/09/2023,06/11/2023,BOLIVAR Y LINCOLN VENEZU,Food & Drink,Sale,-46.69,
06/07/2023,06/08/2023,GLF*DIVERSEY,Entertainment,Sale,-17.00,
06/07/2023,06/08/2023,GLF*StAndrewsGolf,Entertainment,Return,61.54,
06/07/2023,06/08/2023,GLF*ArlingtonLakesGC,Entertainment,Sale,-66.00,
06/05/2023,06/06/2023,REI.COM  800-426-4840,Shopping,Sale,-26.70,
06/05/2023,06/06/2023,GLF*DIVERSEY,Entertainment,Sale,-17.00,
06/04/2023,06/05/2023,GLF*StAndrewsGolf,Entertainment,Sale,-62.00,
06/03/2023,06/04/2023,XSPORT LAKEVIEW-CKFR,Health & Wellness,Sale,-49.95,
05/31/2023,06/02/2023,Touchtunes.helpshift.com,Entertainment,Sale,-14.00,
05/31/2023,06/02/2023,TST* Codys Public House,Food & Drink,Sale,-30.00,
06/01/2023,06/02/2023,TST* Bittersweet Pastry S,Food & Drink,Sale,-13.09,
05/31/2023,06/02/2023,TST* Cardozos Pub,Food & Drink,Sale,-27.00,
